epoch,timestamp,average_loss,output1_loss,output2_loss,output3_loss
22,2025-03-11 22:20:11,-468.9944645216485,-498.23671151810333,-489.659367409073,-431.56406921899617
23,2025-03-11 22:22:46,-493.208748953683,-524.419964189289,-514.3730866247867,-453.9270419593619
24,2025-03-11 22:25:21,-517.8261005818343,-551.0382990476464,-539.5076286251806,-476.65576787355565
25,2025-03-11 22:27:56,-541.0022826635537,-575.992558583492,-563.1697605678013,-498.13391805696887
26,2025-03-11 22:30:30,-566.6651477974002,-603.7314258222821,-589.3722500841156,-521.8350632611443
27,2025-03-11 22:33:09,-591.9530916614693,-631.1103707962677,-615.157687660025,-545.1816390862986
28,2025-03-11 22:35:42,-619.0447772370667,-660.3846507352941,-642.8226256811319,-570.2064267967929
29,2025-03-11 22:38:16,-646.7666333623293,-690.385281089975,-671.1140362394958,-595.7920342453388
30,2025-03-11 22:40:49,-673.9078702525932,-719.7198450425092,-698.8181295955883,-620.8661422088367
31,2025-03-11 22:43:24,-701.321861972328,-749.3828325031184,-726.7737144662552,-646.1871768727023
32,2025-03-11 22:45:59,-729.3119014451484,-779.6530966878939,-755.3375695493041,-672.0366841805081
33,2025-03-11 22:48:34,-757.7835370232077,-810.4466173188025,-784.4145282136292,-698.3129092945773
34,2025-03-11 22:51:09,-786.5125614454766,-841.4857172605371,-813.7328521984966,-724.8674136891085
35,2025-03-11 22:53:44,-813.4601230140494,-870.3345116366859,-841.3175489922531,-749.9111958992581
36,2025-03-11 22:56:20,-844.1925864339877,-903.7856147830225,-872.5928631950827,-778.1975287429425
37,2025-03-11 22:58:56,-873.7040143694196,-935.7207554408482,-902.6884904108127,-805.453021907005
38,2025-03-11 23:01:34,-905.274573574547,-969.8154245584952,-934.9360664431788,-834.6227529830292
39,2025-03-11 23:04:10,-934.736225032005,-1001.7031778287487,-964.9775031594669,-861.8299852900144
40,2025-03-11 23:06:48,-965.4163033621652,-1034.8367463440454,-996.2937334846048,-890.1928177521008
41,2025-03-11 23:09:24,-997.3411388236935,-1069.3692196116729,-1028.8703956924567,-919.6730562097886
42,2025-03-11 23:12:01,-1028.8389651514904,-1103.4318457851891,-1060.9930943080358,-948.7786239495798
43,2025-03-11 23:14:37,-1057.598604602974,-1134.3845009683562,-1090.4028976825105,-975.4058899438681
44,2025-03-11 23:17:13,-1091.0035733775933,-1170.3119773544183,-1124.5482982988117,-1006.3636469480371
45,2025-03-11 23:19:48,-1124.825120429031,-1207.1484467322084,-1158.9556812959559,-1037.4846242696296
46,2025-03-11 23:22:23,-1158.053111869748,-1243.0455168395483,-1192.8640762457326,-1068.200493820575
47,2025-03-11 23:25:03,-1191.1102643694196,-1278.8501007336529,-1226.575758477219,-1098.7061541901917
48,2025-03-11 23:27:38,-1225.231874097295,-1315.7358347147454,-1261.3922621783088,-1130.2335128143054
49,2025-03-11 23:30:11,-1260.4330428948924,-1353.812930836397,-1297.30715044807,-1162.7424552340467
50,2025-03-11 23:32:46,-1294.2324331588104,-1390.3399873621324,-1331.7962954224658,-1193.9787736139378
51,2025-03-11 23:35:23,-1327.9732132599133,-1426.8579952977284,-1366.2091433741466,-1225.132586823792
52,2025-03-11 23:38:01,-1364.3863186876313,-1466.1591868681066,-1403.384369665835,-1258.8080254562763
51,2025-03-12 00:46:27,-1325.6589078502495,-1424.198000098477,-1363.8899582293855,-1223.0811890674238
52,2025-03-12 00:49:07,-1358.8401135356487,-1459.9182436646533,-1397.8109120601366,-1253.8033006171217
53,2025-03-12 00:51:41,-1398.5837720342042,-1503.1035781988576,-1438.2786034335609,-1290.4226658925288
54,2025-03-12 00:54:15,-1435.5155737099528,-1543.0506899537158,-1475.9409292525604,-1324.5451147255778
55,2025-03-12 00:56:49,-1471.5600308971245,-1582.0348310711004,-1512.719968651523,-1357.8338551240809
56,2025-03-12 00:59:24,-1509.1810343766413,-1622.704065659467,-1551.099817612592,-1392.5995303883271
57,2025-03-12 01:01:57,-1545.9918069278492,-1662.50989590172,-1588.6549400521928,-1426.6057611032695
58,2025-03-12 01:04:31,-1582.9937672334559,-1702.5786594422925,-1626.3869341681984,-1460.7600723394826
59,2025-03-12 01:07:04,-1619.7964687828257,-1742.2521818786108,-1663.9775400883009,-1494.8187317407433
60,2025-03-12 01:09:38,-1658.9501245322347,-1784.6731941800158,-1703.8774742318803,-1530.9621489709166
61,2025-03-12 01:12:11,-1696.359488863905,-1825.0559964220063,-1742.061843487395,-1565.5602134896928
62,2025-03-12 01:14:45,-1735.2102440585609,-1866.9845719537816,-1781.7639867958903,-1601.4640149028362
63,2025-03-12 01:17:17,-1773.1304039193803,-1908.0143232586004,-1820.3736202977284,-1636.5348803095458
64,2025-03-12 01:19:50,-1814.60572930344,-1952.960974428834,-1862.6536054851629,-1674.8032144498425
65,2025-03-12 01:22:24,-1853.2817311006434,-1994.7355290260637,-1902.142710453322,-1710.5454870913209
66,2025-03-12 01:24:57,-1893.5942793132879,-2038.3653164390757,-1943.2335964170825,-1747.7863502823004
67,2025-03-12 01:27:30,-1930.9478821313683,-2078.600092527245,-1981.3982046431854,-1782.3708003709296
